DATE,IPG2211A2SQ
2005-04-01,98.7101
2005-07-01,101.0457
2005-10-01,100.2206
2006-01-01,96.8635
2006-04-01,99.8730
2006-07-01,100.5369
2006-10-01,99.3893
2007-01-01,101.9761
2007-04-01,101.8866
2007-07-01,102.7642
2007-10-01,102.4934
2008-01-01,103.1260
2008-04-01,102.7765
2008-07-01,100.1363
2008-10-01,101.6736
2009-01-01,100.2229
2009-04-01,98.4785
2009-07-01,97.2010
2009-10-01,100.2156
2010-01-01,103.0771
2010-04-01,101.5255
2010-07-01,103.5651
2010-10-01,102.8639
2011-01-01,103.3288
2011-04-01,102.1207
2011-07-01,103.7799
2011-10-01,100.2662
2012-01-01,96.4984
2012-04-01,101.3524
2012-07-01,101.7530
2012-10-01,100.3963
2013-01-01,101.3368
2013-04-01,102.0532
2013-07-01,100.7364
2013-10-01,104.6909
2014-01-01,107.0099
2014-04-01,102.6535
2014-07-01,100.4548
2014-10-01,103.9133
2015-01-01,106.3663
2015-04-01,102.4885
2015-07-01,102.5424
2015-10-01,99.5686
2016-01-01,99.6795
2016-04-01,102.7574
2016-07-01,105.0194
2016-10-01,101.7293
2017-01-01,98.0073
2017-04-01,101.5917
2017-07-01,101.5601
2017-10-01,104.9062
2018-01-01,104.4540
2018-04-01,106.2746
2018-07-01,105.3759
2018-10-01,107.7163
2019-01-01,107.0056
